URN,LA (code),EstablishmentNumber
100000,201,3614
100001,201,6005
100002,201,6006
100003,201,6007
100004,202,1045
100005,202,1048
100006,202,1100
100007,202,1101
100008,202,2019
100009,202,2036
100010,202,2065
100011,202,2078
100012,202,2095
100013,202,2184
100014,202,2219
100015,202,2290
100016,202,2357
100017,202,2358
100018,202,2436
100019,202,2438
100020,202,2475
100021,202,2502
100022,202,2507
100023,202,2603
100024,202,2604
100025,202,2775
100026,202,2797
100027,202,2841
100028,202,3323
100029,202,3327
100030,202,3340
100031,202,3352
100032,202,3359
100033,202,3361
100034,202,3370
100035,202,3391
100036,202,3398
100037,202,3400
100038,202,3401
100039,202,3429
100040,202,3441
100041,202,3482
100042,202,3517
100043,202,3521
100044,202,3546
100045,202,3560
100046,202,3568
100047,202,3649
100048,202,3655
100049,202,4104
100050,202,4166
100051,202,4196
100052,202,4275
100053,202,4285
100054,202,4611
100055,202,4652
100056,202,4688
100057,202,4713
100059,202,5401
100060,202,5950
100061,202,6013
100062,202,6014
100063,202,6016
100064,202,6017
100065,202,6018
100066,202,6038
100067,202,6084
100068,202,6174
100069,202,6179
100070,202,6181
100071,202,6195
100072,202,6210
100073,202,6264
100074,202,6269
100075,202,6295
100076,202,6307
100077,202,6353
100078,202,6360
100079,202,6379
100080,202,6380
100081,202,6384
100082,202,6385
100083,202,6386
100084,202,6387
100085,202,6388
100086,202,6390
100087,202,6392
100088,202,6393
100089,202,6394
100090,202,6395
100091,202,7008
100092,202,7137
100093,202,7185
100094,202,7201
100095,202,7204
100096,202,7205
100097,203,1001
100098,203,1006
100099,203,1016
100100,203,1017
100101,203,1018
100102,203,1022
100103,203,1101
100104,203,1102
100105,203,1103
100106,203,1104
100107,203,1105
100108,203,1106
100109,203,2005
100110,203,2006
100111,203,2018
100112,203,2024
100113,203,2028
100114,203,2071
100115,203,2106
100116,203,2125
100117,203,2126
100118,203,2155
100119,203,2156
100120,203,2174
100121,203,2178
100122,203,2179
100123,203,2194
100124,203,2195
100125,203,2228
100126,203,2242
100127,203,2258
100128,203,2266
100129,203,2271
100130,203,2275
100131,203,2299
100132,203,2313
100133,203,2318
100134,203,2325
100135,203,2330
100136,203,2353
100137,203,2410
100138,203,2413
100139,203,2415
100140,203,2471
100141,203,2552
100142,203,2598
100143,203,2601
100144,203,2602
100145,203,2656
100146,203,2662
100147,203,2776
100148,203,2790
100149,203,2798
100150,203,2801
100151,203,2804
100152,203,2813
100153,203,2822
100154,203,2851
100155,203,2877
100156,203,2885
100157,203,2890
100158,203,2900
100159,203,2901
100160,203,2902
100161,203,2907
100162,203,2915
100163,203,2916
100164,203,2917
100165,203,3322
100166,203,3331
100167,203,3338
100168,203,3382
100169,203,3481
100170,203,3500
100171,203,3526
100172,203,3535
100173,203,3561
100174,203,3577
100175,203,3585
100176,203,3604
100177,203,3632
100178,203,3657
100179,203,3662
100180,203,3666
100181,203,3668
100182,203,4077
100183,203,4130
100184,203,4190
100185,203,4243
100186,203,4245
100187,203,4250
100188,203,4257
100189,203,4271
100190,203,4294
100191,203,4296
100192,203,4508
100193,203,4682
100194,203,4696
100195,203,4715
100196,203,4716
100197,203,5200
100198,203,6065
100199,203,6114
100200,203,6169
100201,203,6170
100202,203,6293
100203,209,6294
100204,203,7118
100205,203,7130
100206,203,7157
100207,203,7181
100208,203,7187
100209,203,7196
100210,203,7197
100211,203,7198
100212,204,1008
100213,204,1051
100214,204,1100
100215,204,1101
100216,204,2018
100217,204,2044
100218,204,2048
100219,204,2076
100220,204,2077
100221,204,2120
100222,204,2140
100223,204,2150
100224,204,2155
100225,204,2238
100226,204,2245
100227,204,2246
100228,204,2362
100229,204,2376
100230,204,2388
100231,204,2421
100232,204,2431
100233,204,2444
100234,204,2450
100235,204,2487
100236,204,2489
100237,204,2530
100238,204,2531
100239,204,2532
100240,204,2539
100241,204,2545
100242,204,2564
100243,204,2592
100244,204,2615
100245,204,2636
100246,204,2641
100247,204,2642
100248,204,2654
100249,204,2655
100250,204,2779
100251,204,2795
100252,204,2856
100253,204,2859
100254,204,2860
100255,204,2861
100256,204,2862
100257,204,2863
100258,204,2864
100259,204,2865
100260,204,2872
100261,204,2896
100262,204,3350
100263,204,3358
100264,204,3371
100265,204,3428
100266,204,3458
100267,204,3543
100268,204,3553
100269,204,3572
100270,204,3616
100271,204,3618
100272,204,3646
100273,204,3658
100274,204,3659
100275,204,3663
100276,204,4099
100277,204,4283
100278,204,4302
100279,204,4310
100280,204,4312
100281,204,4317
100282,204,4641
100283,204,4686
100284,204,4697
100285,204,4714
100286,204,5200
100287,204,6072
100288,204,6128
100289,204,6233
100290,204,6234
100291,204,6242
100292,204,6268
100293,204,6296
100294,204,6331
100295,204,6337
100296,204,6377
100297,204,6384
100298,204,6385
100299,204,6387
100300,204,6388
100301,204,6389
100302,204,6390
100303,211,6385
100304,204,6394
100305,204,6395
100306,204,6396
100307,204,7097
100308,204,7144
100309,204,7150
100310,204,7151
100311,204,7161
100312,204,7171
100313,205,1003
100314,205,1004
100315,205,1034
100316,205,1039
100317,205,1056
100318,205,1059
100319,205,1100
100320,205,1101
100321,205,2002
100322,205,2026
100323,205,2045
100324,205,2061
100325,205,2089
100326,205,2134
100327,205,2201
100328,205,2223
100329,205,2286
100330,205,2309
100331,205,2350
100332,205,2367
100333,205,2383
100334,205,2408
100335,205,2444
100336,205,2468
100337,205,2484
100338,205,2555
100339,205,2577
100340,205,2632
100341,205,2660
100342,205,2802
100343,205,2913
100344,205,3300
100345,205,3354
100346,205,3368
100347,205,3378
100348,205,3394
100349,205,3463
100350,205,3529
100351,205,3566
100352,205,3578
100353,205,3600
100354,205,3602
100355,205,3645
100356,205,3647
100357,205,3648
100358,205,4106
100359,205,4314
100360,205,4315
100361,205,4319
100362,205,4610
100363,205,4620
100364,205,4632
100365,205,5400
100366,205,6011
100367,205,6208
100368,205,6216
100369,205,6291
100370,205,6306
100371,205,6359
100372,205,6382
100373,205,6384
100374,205,6385
100375,205,6386
100376,205,6387
100377,205,6388
100378,205,7014
100379,205,7153
100380,205,7195
100381,205,7203
100382,205,7204
100383,205,7205
100384,206,1009
100385,206,1033
100386,206,1047
100387,206,1100
100388,206,1101
100389,206,1102
100390,206,1103
100391,206,1104
100392,206,1105
100393,206,1106
100394,206,1107
100395,206,1108
100396,206,2007
100397,206,2015
100398,206,2092
100399,206,2093
100400,206,2101
100401,206,2128
100402,206,2166
100403,206,2170
100404,206,2182
100405,206,2251
100406,206,2261
100407,206,2279
100408,206,2282
100409,206,2316
100410,206,2317
100411,206,2379
100412,206,2425
100413,206,2426
100414,206,2427
100415,206,2429
100416,206,2439
100417,206,2440
100418,206,2455
100419,206,2465
100420,206,2472
100421,206,2474
100422,206,2515
100423,206,2524
100424,206,2525
100425,206,2596
100426,206,2624
100427,206,2643
100428,206,2646
100429,206,2666
100430,206,2803
100431,206,2805
100432,206,2809
100433,206,2824
100434,206,2850
100435,206,2851
100436,206,3334
100437,206,3384
100438,206,3456
100439,206,3465
100440,206,3471
100441,206,3483
100442,206,3488
100443,206,3495
100444,206,3501
100445,206,3514
100446,206,3527
100447,206,3575
100448,206,3606
100449,206,3631
100450,206,3633
100451,206,3643
100452,206,4108
100453,206,4112
100454,206,4211
100455,206,4307
100456,206,4309
100457,206,4324
100458,206,4614
100459,206,4651
100460,206,4704
100461,206,6162
100462,206,6299
100463,201,6354
100464,206,6375
100465,206,6376
100466,206,6377
100467,206,7030
100468,206,7129
100469,206,7146
100470,206,7158
100471,206,7170
100472,207,1010
100473,207,1021
100474,207,1053
100475,207,1054
100476,207,1100
100477,207,2021
100478,207,2030
100479,207,2050
100480,207,2060
100481,207,2121
100482,207,2229
100483,207,2399
100484,207,2416
100485,207,2452
100486,207,2456
100487,207,2538
100488,207,2594
100489,207,3321
100490,207,3356
100491,207,3379
100492,207,3402
100493,207,3417
100494,207,3437
